GID,GENREV,LIBELLEV,DOMANIAL,CODERIV,MOTD,IDENT,NOMNG,NUMEROFR,NUMEROEU,RHFV_COMMU,CDATE,MDATE
313,AVE,DE L'EGLISE ROMANE,4,0090J,EGLI,0130029,Avenue de l'Eglise Romane ,,,28,19950125160200,20070423154900
315,RUE,DES FAUVETTES,4,0104Z,FAUV,0130032,Rue des Fauvettes ,,,28,19950125160200,20070118193500
316,AVE,DE LA FERME,4,0106B,FERM,0130033,Avenue de la Ferme ,,,28,19950125160200,20070118193500
317,BD,FEYDEAU,4,0108D,FEYD,0130034,Boulevard Feydeau ,,,28,19950125160200,20070118193500
319,RUE,DE LA FONTAINE,4,0112H,FONT,0130036,Rue de la Fontaine ,,,28,19950125160200,20070118193500
320,RUE,DE FONTAUDIN,4,0113J,FONT,0130037,Rue de Fontaudin ,,,28,19950125160200,20070423154900
321,RUE,DES FOUGERES,4,0116M,FOUG,0130038,Rue des Fougères ,,,28,19950125160200,20070423154900
323,AVE,GAY-LUSSAC,4,0118P,LUSS,0130040,Avenue Gay-Lussac ,,,28,19950125160200,20070118193500
324,RUE,DES GENETS,4,0124W,GENE,0130041,Rue des Genêts ,,,28,19950125160200,20070118193500
1,AUT,A 10,1,5000*,10,0030001,Autoroute A 10 ,,,27,19950125160100,20070119103400
2,IMP,ABBE LALANNE,4,0002G,LALA,0030003,Impasse Abbé Lalanne ,,,27,19950125160100,20070119103400
3,RUE,ALFRED DE MUSSET,4,0005K,MUSS,0030004,Rue Alfred de Musset ,,,27,19950125160100,20070423170600
4,RUE,ALFRED JARRY,5,0004J,JARR,0030005,Rue Alfred Jarry ,,,27,19950125160100,20070119103400
5,RUE,AMPERE,4,0010R,AMPE,0030006,Rue Ampère ,,,27,19950125160100,20070423170600
6,RUE,ANDRE LIGNAC,4,0011S,LIGN,0030007,Rue André Lignac ,,,27,19950125160100,20070423170600
7,RUE,D'ANJOU,4,0012T,ANJO,0030008,Rue d'Anjou ,,,27,19950125160100,20070119103400
8,IMP,ANTOINE POL,4,0017Y,POL,0030009,Impasse Antoine Pol ,,,27,19950125160100,20070119103400
9,RUE,D'ARGENTEUIL,4,0014V,ARGE,0030011,Rue d'Argenteuil ,,,27,19950125160100,20070423170600
10,CHEM,DES BADAUNES,6,0019A,BADA,0030012,Chemin des Badaunes ,,,27,19950125160100,20070119103400
11,RUE,DE BARBERE,4,0020B,BARB,0030013,Rue de Barbere ,,,27,19950125160100,20070119103400
12,CHEM,DE BAREYRES,6,0022D,BARE,0030014,Chemin de Bareyres ,,,27,19950125160100,20070119103400
13,RUE,DE BAROT,4,,BARO,0030015,Rue de Barot ,,,27,19950125160100,20070423170600
14,IMP,DE BARRUS,4,0026H,BARR,0030016,Impasse de Barrus ,,,27,19950125160100,20070119103400
15,RUE,DE BASSENS,4,0030M,BASS,0030017,Rue de Bassens ,,,27,19950125160100,20070423170600
16,CHEM,DE BEAUJET,V,0037V,BEAU,0030018,Chemin de Beaujet ,,,27,19950125160100,20070119103400
17,RUE,DE BEAUSEJOUR,4,0040Y,BEAU,0030019,Rue de Beauséjour ,,,27,19950125160100,20070119103400
18,AVE,BEL AIR,4,0052L,AIR,0030020,Avenue Bel Air ,,,27,19950125160100,20070119103400
19,CHEM,DE BERNATET,6,0053M,BERN,0030021,Chemin de Bernatet ,,,27,19950125160100,20070119103400
20,IMP,BERNATET,6,0054N,BERN,0030022,Impasse Bernatet ,,,27,19950125160100,20070423170600
21,IMP,DES BLANDATS,6,0069E,BLAN,0030023,Impasse des Blandats ,,,27,19950125160100,20070119103400
22,RUE,DES BLANDATS,4,0070F,BLAN,0030024,Rue des Blandats ,,,27,19950125160100,20070423170600
23,CHEM,DU BOIS DE LA BLANCHE,6,0075L,BLAN,0030025,Chemin du Bois de la Blanche ,,,27,19950125160100,20070119103400
24,RUE,DU BOUT DU PARC,4,0081T,PARC,0030027,Rue du Bout du Parc ,,,27,19950125160100,20070423170600
25,CHEM,DE BRANDIER,4,,BRAN,0030028,Chemin de Brandier ,,,27,19950125160100,20070119103400
26,CHEM,DE BRECHET,6,0091D,BREC,0030029,Chemin de Brechet ,,,27,19950125160100,20130812100728
27,RUE,DU BROUSTEY,4,0096J,BROU,0030030,Rue du Broustey ,,,27,19950125160100,20130812100728
28,CHEM,DU CAILLOU,6,0114D,CAIL,0030031,Chemin du Caillou ,,,27,19950125160100,20070119103400
