GID,IDENT,NOM,NOM_X,NOM_Y,NOM_O,NOMNG,CDATE,MDATE
19,119,CENON,1420563.36,4190043.75,0,Cenon,19920310181800,20080925154316
20,032,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132
21,522,TALENCE,1415028.63,4184582.36,0,Talence,19920310181800,20080925154556
28,013,ARTIGUESPRESBORDEAUX,1423119,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900
1,376,SAINT AUBIN DE MEDOC,1401001.09,4198803.25,0,Saint-Aubin-de-Médoc,19920618090900,20080925154500
2,312,PAREMPUYRE,1416343.28,4200747.84,0,Parempuyre,19920310181800,20080925154440
3,096,CARBONBLANC,1423406.23,4195318.53,0,Carbon-Blanc,19920310181800,20080925154304
4,519,LE TAILLANMEDOC,1407898.05,4197000.86,0,Le Taillan-Médoc,19920310181800,20080925154544
5,004,AMBES,1420200.6,4206934.78,0,Ambès,19920310181800,20080925154052
6,056,BLANQUEFORT,1413725.57,4197385.21,0,Blanquefort,19920310181800,20080925154200
7,487,SAINTVINCENTDEPAUL,1424331.62,4204694.06,0,Saint-Vincent-de-Paul,19920310181800,20080925154532
8,065,BOULIAC,1421893.28,4185284.32,0,Bouliac,19920310181800,20080925154228
9,167,FLOIRAC,1420823.75,4187470.98,0,Floirac,19920310181800,20090430112628
11,249,LORMONT,1420925.07,4192429.8,0,Lormont,19920310181800,20080925154420
12,039,BEGLES,1418285.76,4183574.06,0,Bègles,19920310181800,20080925154148
13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340
14,192,GRADIGNAN,1412269.47,4180306.34,0,Gradignan,19920310181800,20080925154356
15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448
16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812
17,449,SAINT MEDARD EN JALLES,1398831.98,4193542.49,0,Saint-Médard-en-Jalles,19920310181800,20091119174748
18,063,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104
22,075,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252
23,069,LE BOUSCAT,1414160.57,4191121.81,0,Le Bouscat,19920310181800,20080925154240
24,162,EYSINES,1410803.23,4193110.77,0,Eysines,19920310181800,20080925154332
25,200,LE HAILLAN,1407909.48,4191394.32,0,Le Haillan,19920310181800,20091119174748
26,434,SAINTLOUISDEMONTFERRAND,1420910,4203059.5,0,Saint-Louis-de-Montferrand,19920310181800,20080925154512
27,003,AMBARESETLAGRAVE,1422226.17,4200430.36,0,Ambarès-et-Lagrave,19920310181800,20080925154032
29,273,MARTIGNASSUR JALLE,1398682.13,4190163.48,0,Martignas-sur-Jalle,20130306151112,20130507130820
