GID,IDENT,NUMERO,NUMERO_X,NUMERO_Y,NUMERO_O,POP_MUN,POP_CAP,POP_TOT,POP_SDC,NB_LOG_P,NB_LOG_S,NB_LOG_O,NB_LOG_V,NB_LOG_T,CDATE,MDATE
368,039AM15,AM15,1418786.17,4184841.71,0,42,0,42,42,19,0,1,3,23,19951114104200,20060905225400
369,039AM19,AM19,1418678.54,4184832.24,0,32,0,32,32,13,0,0,1,14,19951114104200,20060905225400
370,039AM14,AM14,1418665.12,4184884.4,0,36,0,36,36,16,0,0,1,17,19951114104200,20060905225400
371,039AM20,AM20,1418764.56,4184949.44,0,132,0,132,132,65,0,0,5,70,19951114104200,20060905225400
372,039AN01,AN01,1417464.31,4184728.4,0,42,0,42,42,18,0,0,2,20,19951114110900,20060905225400
373,039AN17,AN17,1417532.68,4184613.32,0,7,0,7,7,4,0,0,1,5,19951114110900,20060905225400
374,039AN16,AN16,1417572.88,4184449.92,0,107,0,107,107,54,0,0,2,56,19951114110900,20060905225400
375,039AN15,AN15,1417658.71,4184346.83,0,112,0,112,112,50,0,0,3,53,19951114110900,20060905225400
376,039AN22,AN22,1417717.06,4184472.94,0,63,0,63,63,30,0,1,3,34,19951114110900,20060905225400
377,039AN23,AN23,1417660.21,4184518.54,0,45,0,45,45,20,0,0,1,21,19951114110900,20060905225400
378,039AN18,AN18,1417671.28,4184593.03,0,69,0,69,69,23,0,0,4,27,19951114111000,20060905225400
379,039AN02,AN02,1417628.84,4184699.2,0,75,0,75,75,34,0,0,4,38,19951114111000,20060905225400
380,039AN03,AN03,1417702.21,4184759.27,0,56,0,56,56,24,0,0,0,24,19951114111000,20060905225400
381,039AN04,AN04,1417779.69,4184692.68,0,119,0,119,119,52,0,0,6,58,19951114111000,20060905225400
382,039AN21,AN21,1417807.6,4184513.78,0,81,0,81,81,35,0,0,3,38,19951114111000,20060905225400
383,039AN14,AN14,1417902.37,4184440.1,0,80,0,80,80,38,0,0,9,47,19951114111000,20060905225400
