CODERIVOLI;LIBELLEVOIE;TYPEVOIE;LIBELLESEUL;CODEQUARTIER;LIBELLEQUARTIER;NOMQUARTIER;COTE;DEBUT;FIN;CODEPOSTAL
A015;CITE CARLE VERNET;CITÉ;CARLE VERNET;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
A015;CITE CARLE VERNET;CITÉ;CARLE VERNET;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
A020;RESIDENCE DES CHARTRONS;RÉSIDENCE;DES CHARTRONS;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
A020;RESIDENCE DES CHARTRONS;RÉSIDENCE;DES CHARTRONS;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
A065;RESIDENCE HAUT BRION;RÉSIDENCE;HAUT BRION;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
A065;RESIDENCE HAUT BRION;RÉSIDENCE;HAUT BRION;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
A094;RESIDENCE LEON BLUM;RÉSIDENCE;LÉON BLUM;08;Quartier 8;Caudéran;Impair;0001;9999;33200
A094;RESIDENCE LEON BLUM;RÉSIDENCE;LÉON BLUM;08;Quartier 8;Caudéran;Pair;0002;9998;33200
A110;RESIDENCE MARLY;RÉSIDENCE;MARLY;08;Quartier 8;Caudéran;Pair;0002;9998;33200
A110;RESIDENCE MARLY;RÉSIDENCE;MARLY;08;Quartier 8;Caudéran;Impair;0001;9999;33200
A115;RESIDENCE DE LA MARTINIQUE;RÉSIDENCE;DE LA MARTINIQUE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
A115;RESIDENCE DE LA MARTINIQUE;RÉSIDENCE;DE LA MARTINIQUE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
A130;RESIDENCE OCEAN;RÉSIDENCE;OCÉAN;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
A130;RESIDENCE OCEAN;RÉSIDENCE;OCÉAN;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
A145;RESIDENCE LES PINS FRANCS;RÉSIDENCE;LES PINS FRANCS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
A145;RESIDENCE LES PINS FRANCS;RÉSIDENCE;LES PINS FRANCS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
