index,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune
0,ave,DE L'EGLISE ROMANE,0090,Avenue de l'Eglise Romane ,28,Avenue,009028av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
1,rue,DES FAUVETTES,0104,Rue des Fauvettes ,28,Rue,010428ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
2,ave,DE LA FERME,0106,Avenue de la Ferme ,28,Avenue,010628av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
3,bd,FEYDEAU,0108,Boulevard Feydeau ,28,Boulevard,010828bo,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
4,rue,DE LA FONTAINE,0112,Rue de la Fontaine ,28,Rue,011228ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
5,rue,DE FONTAUDIN,0113,Rue de Fontaudin ,28,Rue,011328ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
6,rue,DES FOUGERES,0116,Rue des Fougères ,28,Rue,011628ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
7,ave,GAY-LUSSAC,0118,Avenue Gay-Lussac ,28,Avenue,011828av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
8,rue,DES GENETS,0124,Rue des Genêts ,28,Rue,012428ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
9,rue,DES ROITELETS,0322,Rue des Roitelets ,28,Rue,032228ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
10,all,DES VIGNERONS,0319,Allée des Vignerons ,28,Allée,031928al,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
11,rue,BLAISE PASCAL,0034,Rue Blaise Pascal ,28,Rue,003428ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
12,ave,DES PROVINCES,0270,Avenue des Provinces ,28,Avenue,027028av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
13,rue,DES LAURIERS,0158,Rue des Lauriers ,28,Rue,015828ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
14,rue,DU SERPOLET,0288,Rue du Serpolet ,28,Rue,028828ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
15,ave,GERARD PHILIPE,5007,Avenue Gerard Philipe ,28,Avenue,500728av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
16,rue,DU SAUTERNAIS,0280,Rue du Sauternais ,28,Rue,028028ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
17,rue,DE MEYNOT,0335,Rue de Meynot ,28,Rue,033528ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
18,rue,D'ESPAGNE,0093,Rue d'Espagne ,28,Rue,009328ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
19,rue,DE GRANDE BRETAGNE,0125,Rue de Grande Bretagne ,28,Rue,012528ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
20,rue,D'ITALIE,0138,Rue d'Italie ,28,Rue,013828ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
21,rue,DE BELGIQUE,0031,Rue de Belgique ,28,Rue,003128ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,
