,name,gender
406,<a/>dolfs,Homme
2749,<a/>rija,Femme
2753,<a/>rijs,Homme
2772,<a/>ris,Homme
5909,<c^>aslav,Homme
6007,<c^>azir,Homme
6031,<c^>edo,Homme
6032,<c^>edomil,Homme
6033,<c^>edomila,Femme
6034,<c^>edomir,Homme
6099,<c^>enék,Homme
6137,<c^>es<e°>,Femme
6146,<c^>eslav,Homme
6147,<c^>eslava,Femme
6148,<c^>eslavas,Homme
6149,<c^>eslovas,Homme
6150,<c^>estmír,Homme
7106,<c^>rt,Homme
7107,<c^>rtomir,Homme
6290,<ch>aslav,Homme
6306,<ch>azir,Homme
6307,<ch>edo,Homme
6308,<ch>edomil,Homme
6309,<ch>edomila,Femme
6310,<ch>edomir,Homme
6320,<ch>enék,Homme
6341,<ch>es<e°>,Femme
6342,<ch>eslav,Homme
6343,<ch>eslava,Femme
6344,<ch>eslavas,Homme
6345,<ch>eslovas,Homme
6347,<ch>estmír,Homme
6525,<ch>rt,Homme
6526,<ch>rtomir,Homme
5713,<c´>amil,Homme
5715,<c´>amila,Femme
6006,<c´>azim,Homme
6090,<c´>emal,Homme
6116,<c´>erima,Femme
6624,<c´>iril,Homme
6629,<c´>irilo,Homme
8357,<dj>enan,Homme
8358,<dj>enana,Femme
8360,<dj>eni,Femme
8361,<dj>enita,Femme
8364,<dj>oka,Femme
8365,<dj>oko,Homme
8366,<dj>or<dj>e,Homme
8367,<dj>or<dj>ije,Homme
8368,<dj>uka,Femme
8369,<dj>ulijana,Femme
8370,<dj>ulka,Femme
8373,<dj>ur<dj>a,Femme
8374,<dj>ur<dj>ica,Femme
8372,<dj>ura,Femme
8375,<dj>urica,Femme
8376,<dj>uro,Homme
10368,<e/>rika,Femme
10373,<e/>riks,Homme
10786,<e/>valds,Homme
12912,"<g,>ertr<u/>de",Femme
13240,"<g,>irts",Homme
16338,<ij>pe,Homme
16339,<ij>sbrand,Homme
16340,<ij>tje,Femme
16341,<ij>tsje,Femme
16342,<ij>ttje,Femme
16158,<i°>badullah,Homme
16172,<i°>brahim,Homme
16192,<i°>clal,Femme
16220,<i°>dil,Femme
16231,<i°>dris,Homme
16260,<i°>ffet,Femme
16324,<i°>hsan,Homme
16346,<i°>kbal,Femme
16375,<i°>layda,Femme
16410,<i°>lham,Homme
16412,<i°>lhami,Homme
16414,<i°>lhan,Homme
16460,<i°>lke,Femme
16461,<i°>lker,Homme
16463,<i°>lkin,Homme
16466,<i°>lknur,Femme
16521,<i°>lyada,Femme
16524,<i°>lyas,Homme
16543,<i°>mdat,Homme
16550,<i°>mge,Femme
16573,<i°>mran,Femme
16576,<i°>mren,Femme
16594,<i°>nan,Homme
16595,<i°>nanç,Homme
16608,<i°>nci,Femme
16874,<i°>pek,Femme
16902,<i°>rem,Femme
16920,<i°>rfan,Homme
17005,<i°>sa,Homme
17056,<i°>shak,Homme
17084,<i°>skender,Homme
17089,<i°>slam,Homme
17096,<i°>smail,Homme
17104,<i°>smet,Homme
17106,<i°>smigül,Femme
17108,<i°>smihan,Femme
17277,<i°>zel,Femme
17291,<i°>zzet,Homme
17292,<i°>zzettin,Homme
21465,"<l,>evs",Homme
22232,"<l,>ubova",Femme
22287,<l/>ucja,Femme
22412,<l/>ukasz,Homme
22201,<l´>uba,Femme
22212,<l´>ubica,Femme
22226,<l´>ubo<sch>,Homme
22228,<l´>ubo<sh>,Homme
22217,<l´>ubomír,Homme
22219,<l´>ubomíra,Femme
22222,<l´>ubor,Homme
22230,<l´>uboslava,Femme
22223,<l´>uboš,Homme
22250,<l´>ucián,Homme
22309,<l´>udevít,Homme
22324,<l´>udmila,Femme
22328,<l´>udo,Homme
22336,<l´>udovít,Homme
26816,"<n,>ina",Femme
31026,"<s,>aban",Homme
31122,"<s,>aduman",Femme
31146,"<s,>afak",Homme
31168,"<s,>ahap",Homme
31173,"<s,>ahika",Femme
31174,"<s,>ahin",Homme
31474,"<s,>ans<i>n",Homme
31725,"<s,>aziment",Femme
31726,"<s,>aziye",Femme
31835,"<s,>ebnem",Femme
31876,"<s,>efik",Homme
31878,"<s,>efika",Femme
31890,"<s,>ehmus",Homme
31891,"<s,>ehmuz",Homme
31892,"<s,>ehnaz",Femme
31893,"<s,>ehriban",Femme
32001,"<s,>emsettin",Homme
32002,"<s,>emsi",Homme
32011,"<s,>enay",Femme
32015,"<s,>enel",Homme
32018,"<s,>ener",Homme
32020,"<s,>engül",Femme
32024,"<s,>eniz",Femme
32028,"<s,>ennur",Femme
32031,"<s,>enol",Homme
32037,"<s,>entürk",Homme
32068,"<s,>erafettin",Homme
32088,"<s,>eref",Homme
32133,"<s,>erif",Homme
32136,"<s,>erife",Femme
32147,"<s,>ermin",Femme
32237,"<s,>evket",Homme
32238,"<s,>evki",Homme
32239,"<s,>evkinaz",Femme
32240,"<s,>evkiye",Femme
32244,"<s,>evval",Femme
32247,"<s,>eyda",Femme
32258,"<s,>eyma",Femme
33032,"<s,>iir",Femme
33117,"<s,>ima",Femme
33165,"<s,>inasi",Homme
33228,"<s,>irin",Femme
33956,"<s,>tefan",Homme
33960,"<s,>tefana",Femme
33964,"<s,>tefania",Femme
33974,"<s,>tefanita",Homme
33981,"<s,>tefanut",Homme
34289,"<s,>ule",Femme
34220,"<s,>üheda",Femme
34224,"<s,>ükran",Femme
34225,"<s,>ükriye",Femme
34226,"<s,>ükrü",Homme
31731,<sch>a<c´>ir,Homme
31730,<sch>aban,Homme
31741,<sch>ar<u/>nas,Homme
31740,<sch>arlota,Femme
31742,<sch>ef<c´>et,Homme
31743,<sch>efik,Homme
31744,<sch>efika,Femme
31745,<sch>efkija,Homme
31746,<sch>efkije,Femme
31747,<sch>efko,Homme
31748,<sch>eina,Femme
31750,<sch>emsa,Femme
31751,<sch>emso,Homme
31752,<sch>emsudin,Homme
31754,<sch>erif,Homme
31755,<sch>erifa,Femme
31756,<sch>eval,Femme
31757,<sch>evala,Femme
31758,<sch>ima,Homme
31759,<sch>ime,Homme
31760,<sch>imun,Homme
31769,<sch>pela,Femme
31770,<sch>pelca,Femme
31771,<sch>piro,Homme
31780,<sch>t<ê>pán,Homme
31781,<sch>t<ê>pánka,Femme
31772,<sch>tefa,Femme
31773,<sch>tefan,Homme
31775,<sch>tefanija,Femme
31776,<sch>tefica,Femme
31777,<sch>tefka,Femme
31774,<sch>tefánia,Femme
31786,<sch>u<c´>ro,Homme
31787,<sch>ukrija,Homme
31794,<sch>zeir,Homme
31739,<sch>árka,Femme
32283,<sh>a<c´>ir,Homme
32273,<sh>aban,Homme
32435,<sh>ar<u/>nas,Homme
32423,<sh>arlota,Femme
32474,<sh>ef<c´>et,Homme
32477,<sh>efik,Homme
32478,<sh>efika,Femme
32482,<sh>efkija,Homme
32484,<sh>efkije,Femme
32485,<sh>efko,Homme
32493,<sh>eina,Femme
32514,<sh>emsa,Femme
32519,<sh>emso,Homme
32520,<sh>emsudin,Homme
32535,<sh>erif,Homme
32536,<sh>erifa,Femme
32558,<sh>eval,Femme
32559,<sh>evala,Femme
32593,<sh>ima,Homme
32594,<sh>ime,Homme
32598,<sh>imun,Homme
32702,<sh>pela,Femme
32703,<sh>pelca,Femme
32706,<sh>piro,Homme
32726,<sh>t<ê>pán,Homme
32727,<sh>t<ê>pánka,Femme
32718,<sh>tefa,Femme
32719,<sh>tefan,Homme
32721,<sh>tefanija,Femme
32722,<sh>tefica,Femme
32723,<sh>tefka,Femme
32720,<sh>tefánia,Femme
32735,<sh>u<c´>ro,Homme
32746,<sh>ukrija,Homme
32771,<sh>zeir,Homme
32419,<sh>árka,Femme
39621,<z^>aklina,Femme
39637,<z^>an,Homme
39639,<z^>ana,Femme
39641,<z^>anas,Homme
39646,<z^>aneta,Femme
39648,<z^>anete,Femme
39652,<z^>anis,Homme
39654,<z^>anna,Femme
39675,<z^>arko,Homme
39773,<z^>elimir,Homme
39774,<z^>elimír,Homme
39781,<z^>elislava,Femme
39782,<z^>eljan,Homme
39783,<z^>eljana,Femme
39784,<z^>eljka,Femme
39785,<z^>eljko,Homme
39789,<z^>elmíra,Femme
39804,<z^>enija,Femme
39832,<z^>eraldas,Homme
39833,<z^>eraras,Homme
39914,<z^>iga,Homme
39921,<z^>igmund,Homme
39937,<z^>ika,Homme
39945,<z^>ilvinas,Homme
39977,<z^>iva,Femme
39978,<z^>ivadin,Homme
39979,<z^>ivadinka,Femme
39980,<z^>ivan,Homme
39981,<z^>ivana,Femme
39983,<z^>ivil<e°>,Femme
39984,<z^>ivka,Femme
39985,<z^>ivkica,Femme
39986,<z^>ivko,Homme
39987,<z^>ivodrag,Homme
39988,<z^>ivojin,Homme
39989,<z^>ivomir,Homme
39990,<z^>ivorad,Homme
39991,<z^>ivota,Femme
