,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune,nom_street_1,nom_street_2,prenoms_join_1,sexe_join_1,nombre_prenoms_sexe_join_1,nombre_prenoms_join_1,proportion_join_1,prenoms_join_2,sexe_join_2,nombre_prenoms_sexe_join_2,nombre_prenoms_join_2,proportion_join_2,title_name_1,title_genre_1,title_name_2,title_genre_2,title_coef,street_genre,perso_nom_1,perso_genre_1,perso_nom_2,perso_genre_2
0,ave,DE L'EGLISE ROMANE,0090,Avenue de l'Eglise Romane ,28,Avenue,009028av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,l'eglise,romane,,Inconnu,,,1.0,romane,F,2057.0,2057.0,1.0,,Inconnu,,Inconnu,0,F,,Inconnu,,Inconnu
1,pce,DE L'EGLISE,5006,Place de l'Eglise ,28,Place,500628pl,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
2,pce,DE L'EGLISE,0123,Place de l'Eglise ,22,Place,012322pl,22,75,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252,75.0,10610.0,0.0,10610.0,10610.0,4327.0,12.0,32.0,157.0,4528.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
3,pce,DE L'EGLISE,0235,Place de l'Eglise,6,Place,02356pl,6,56,BLANQUEFORT,1413725.57,4197385.21,0,Blanquefort,19920310181800,20080925154200,56.0,13899.0,693.0,14592.0,13899.0,5334.0,22.0,40.0,173.0,5569.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
4,pce,DE L'EGLISE,0260,Place de l'Eglise ,11,Place,026011pl,11,249,LORMONT,1420925.07,4192429.8,0,Lormont,19920310181800,20080925154420,249.0,21340.0,245.0,21585.0,21340.0,8267.0,23.0,30.0,325.0,8645.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
5,rue,DE L'EGLISE,0067,Rue de l'Eglise ,8,Rue,00678ru,8,65,BOULIAC,1421893.28,4185284.32,0,Bouliac,19920310181800,20080925154228,65.0,3248.0,42.0,3290.0,3248.0,1151.0,5.0,21.0,37.0,1214.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
6,pce,DE L'EGLISE,0428,Place de l'Eglise ,19,Place,042819pl,19,119,CENON,1420563.36,4190043.75,0,Cenon,19920310181800,20080925154316,119.0,21282.0,131.0,21413.0,21282.0,8721.0,24.0,59.0,388.0,9192.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
7,rue,DE L'EGLISE,0190,Rue de l'Eglise ,24,Rue,019024ru,24,162,EYSINES,1410803.23,4193110.77,0,Eysines,19920310181800,20080925154332,162.0,18401.0,193.0,18594.0,18405.0,6995.0,37.0,20.0,182.0,7234.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
8,pce,DE L'EGLISE,0266,Place de l'Eglise ,1,Place,02661pl,1,376,SAINT AUBIN DE MEDOC,1401001.09,4198803.25,0,Saint-Aubin-de-Médoc,19920618090900,20080925154500,376.0,4990.0,0.0,4990.0,4990.0,1669.0,7.0,2.0,31.0,1709.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
9,all,DE L'EGLISE,0380,Allée de l'Eglise ,2,Allée,03802al,2,312,PAREMPUYRE,1416343.28,4200747.84,0,Parempuyre,19920310181800,20080925154440,312.0,6613.0,0.0,6613.0,6613.0,2141.0,9.0,7.0,36.0,2193.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
10,rue,DE L'EGLISE,0381,Rue de l'Eglise ,2,Rue,03812ru,2,312,PAREMPUYRE,1416343.28,4200747.84,0,Parempuyre,19920310181800,20080925154440,312.0,6613.0,0.0,6613.0,6613.0,2141.0,9.0,7.0,36.0,2193.0,,,,,,l'eglise,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
11,rue,DES FAUVETTES,0104,Rue des Fauvettes ,28,Rue,010428ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
12,rue,DES FAUVETTES,0124,Rue des Fauvettes,22,Rue,012422ru,22,75,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252,75.0,10610.0,0.0,10610.0,10610.0,4327.0,12.0,32.0,157.0,4528.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
13,rue,DES FAUVETTES,0246,Rue des Fauvettes ,6,Rue,02466ru,6,56,BLANQUEFORT,1413725.57,4197385.21,0,Blanquefort,19920310181800,20080925154200,56.0,13899.0,693.0,14592.0,13899.0,5334.0,22.0,40.0,173.0,5569.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
